user_id,activity_date,activity_count
B0-U011,2026-01-15,0
B0-U011,2026-01-16,0
B0-U011,2026-01-17,0
B0-U011,2026-01-18,0
B0-U011,2026-01-19,0
B0-U011,2026-01-20,0
B0-U011,2026-01-21,0
B0-U012,2026-01-17,12
B0-U012,2026-01-16,9
B0-U012,2026-01-15,11
B0-U012,2026-01-14,10
B0-U012,2026-01-13,8
B0-U012,2026-01-12,7
B0-U012,2026-01-11,6
B0-U012,2026-01-10,5
B0-U012,2026-01-09,3
B0-U012,2026-01-08,2
B0-U012,2026-01-07,2
B0-U012,2026-01-06,2
B0-U012,2026-01-05,3
B0-U012,2026-01-04,1
B0-U012,2026-01-03,1
B0-U013,2026-01-16,12
B0-U013,2026-01-15,9
B0-U013,2026-01-14,8
B0-U013,2026-01-13,7
B0-U013,2026-01-12,6
B0-U013,2026-01-11,5
B0-U013,2026-01-10,4
B0-U013,2026-01-09,3
B0-U013,2026-01-08,1
B0-U013,2026-01-07,3
B0-U013,2026-01-06,2
B0-U013,2026-01-05,1
B0-U013,2026-01-04,3
B0-U013,2026-01-03,1
B0-U013,2026-01-02,0
B0-U014,2026-01-14,5
B0-U014,2026-01-15,7
B0-U014,2026-01-16,6
B0-U014,2026-01-17,4
B0-U014,2026-01-18,3
B0-U014,2026-01-19,2
B0-U014,2026-01-20,1
B0-U014,2026-01-21,0
B0-U014,2026-01-22,1
B0-U014,2026-01-23,1
B0-U014,2026-01-24,2
B0-U014,2026-01-25,3
B0-U014,2026-01-26,2
B0-U014,2026-01-27,2
B0-U014,2026-01-28,2
B0-U015,2026-01-04,12
B0-U015,2026-01-05,9
B0-U015,2026-01-06,11
B0-U015,2026-01-07,8
B0-U015,2026-01-08,7
B0-U015,2026-01-09,6
B0-U015,2026-01-10,5
B0-U015,2026-01-11,4
B0-U015,2026-01-12,2
B0-U015,2026-01-13,2
B0-U015,2026-01-14,1
B0-U015,2026-01-15,2
B0-U015,2026-01-16,2
B0-U015,2026-01-17,3
B0-U015,2026-01-18,0
B0-U016,2026-01-04,12
B0-U016,2026-01-05,9
B0-U016,2026-01-06,7
B0-U016,2026-01-07,6
B0-U016,2026-01-08,5
B0-U016,2026-01-09,4
B0-U016,2026-01-10,3
B0-U016,2026-01-11,2
B0-U016,2026-01-12,1
B0-U016,2026-01-13,1
B0-U016,2026-01-14,1
B0-U016,2026-01-15,2
B0-U016,2026-01-16,2
B0-U016,2026-01-17,2
B0-U016,2026-01-18,3
B0-U017,2026-01-04,9
B0-U017,2026-01-05,7
B0-U017,2026-01-06,6
B0-U017,2026-01-07,5
B0-U017,2026-01-08,4
B0-U017,2026-01-09,3
B0-U017,2026-01-10,2
B0-U017,2026-01-11,1
B0-U017,2026-01-12,1
B0-U017,2026-01-13,0
B0-U017,2026-01-14,0
B0-U017,2026-01-15,0
B0-U017,2026-01-16,0
B0-U017,2026-01-17,0
B0-U017,2026-01-18,0
B0-U018,2026-01-16,12
B0-U018,2026-01-15,9
B0-U018,2026-01-14,7
B0-U018,2026-01-13,10
B0-U018,2026-01-12,11
B0-U018,2026-01-11,8
B0-U018,2026-01-10,9
B0-U018,2026-01-09,10
B0-U018,2026-01-08,0
B0-U018,2026-01-07,2
B0-U018,2026-01-06,0
B0-U018,2026-01-05,3
B0-U018,2026-01-04,1
B0-U018,2026-01-03,2
B0-U018,2026-01-02,0
B0-U019,2026-01-03,5
B0-U019,2026-01-04,7
B0-U019,2026-01-05,6
B0-U019,2026-01-06,8
B0-U019,2026-01-07,9
B0-U019,2026-01-08,11
B0-U019,2026-01-09,12
B0-U019,2026-01-10,10
B0-U019,2026-01-11,0
B0-U019,2026-01-12,2
B0-U019,2026-01-13,1
B0-U019,2026-01-14,1
B0-U019,2026-01-15,1
B0-U019,2026-01-16,3
B0-U019,2026-01-17,0
B0-U020,2026-01-15,12
B0-U020,2026-01-14,9
B0-U020,2026-01-13,11
B0-U020,2026-01-12,8
B0-U020,2026-01-11,7
B0-U020,2026-01-10,6
B0-U020,2026-01-09,5
B0-U020,2026-01-08,4
B0-U020,2026-01-07,0
B0-U020,2026-01-06,0
B0-U020,2026-01-05,3
B0-U020,2026-01-04,0
B0-U020,2026-01-03,3
B0-U020,2026-01-02,1
B0-U020,2026-01-01,2
B1-U001,2026-01-28,12
B1-U001,2026-01-27,10
B1-U001,2026-01-26,9
B1-U001,2026-01-25,8
B1-U001,2026-01-24,7
B1-U001,2026-01-23,6
B1-U001,2026-01-22,6
B1-U001,2026-01-21,5
B1-U001,2026-01-20,4
B1-U001,2026-01-19,4
B1-U001,2026-01-18,3
B1-U001,2026-01-17,3
B1-U001,2026-01-16,3
B1-U001,2026-01-15,2
B1-U001,2026-01-14,2
B1-U002,2026-01-28,12
B1-U002,2026-01-27,9
B1-U002,2026-01-26,11
B1-U002,2026-01-25,10
B1-U002,2026-01-24,8
B1-U002,2026-01-23,7
B1-U002,2026-01-22,6
B1-U002,2026-01-21,5
B1-U002,2026-01-20,0
B1-U002,2026-01-19,0
B1-U002,2026-01-18,1
B1-U002,2026-01-17,2
B1-U002,2026-01-16,3
B1-U002,2026-01-15,2
B1-U002,2026-01-14,1
B1-U003,2026-01-27,12
B1-U003,2026-01-26,9
B1-U003,2026-01-25,8
B1-U003,2026-01-24,11
B1-U003,2026-01-23,10
B1-U003,2026-01-22,7
B1-U003,2026-01-21,9
B1-U003,2026-01-20,6
B1-U003,2026-01-19,1
B1-U003,2026-01-18,2
B1-U003,2026-01-17,3
B1-U003,2026-01-16,3
B1-U003,2026-01-15,0
B1-U003,2026-01-14,3
B1-U003,2026-01-13,2
B1-U004,2026-01-16,12
B1-U004,2026-01-15,10
B1-U004,2026-01-14,9
B1-U004,2026-01-13,7
B1-U004,2026-01-12,6
B1-U004,2026-01-11,8
B1-U004,2026-01-10,9
B1-U004,2026-01-09,11
B1-U004,2026-01-08,1
B1-U004,2026-01-07,0
B1-U004,2026-01-06,0
B1-U004,2026-01-05,1
B1-U004,2026-01-04,3
B1-U004,2026-01-03,1
B1-U004,2026-01-02,3
B1-U005,2026-01-09,12
B1-U005,2026-01-10,9
B1-U005,2026-01-11,11
B1-U005,2026-01-12,8
B1-U005,2026-01-13,10
B1-U005,2026-01-14,7
B1-U005,2026-01-15,6
B1-U005,2026-01-16,5
B1-U005,2026-01-17,1
B1-U005,2026-01-18,2
B1-U005,2026-01-19,3
B1-U005,2026-01-20,2
B1-U005,2026-01-21,0
B1-U005,2026-01-22,1
B1-U005,2026-01-23,0
B1-U006,2026-01-24,5
B1-U006,2026-01-23,4
B1-U006,2026-01-22,2
B1-U006,2026-01-21,1
B1-U006,2026-01-20,0
B1-U006,2026-01-19,2
B1-U006,2026-01-18,1
B1-U006,2026-01-17,0
B1-U006,2026-01-16,0
B1-U006,2026-01-15,1
B1-U006,2026-01-14,2
B1-U006,2026-01-13,3
B1-U006,2026-01-12,2
B1-U006,2026-01-11,4
B1-U006,2026-01-10,6
B1-U007,2026-01-08,5
B1-U007,2026-01-09,7
B1-U007,2026-01-10,6
B1-U007,2026-01-11,4
B1-U007,2026-01-12,3
B1-U007,2026-01-13,2
B1-U007,2026-01-14,1
B1-U007,2026-01-15,0
B1-U007,2026-01-16,0
B1-U007,2026-01-17,0
B1-U007,2026-01-18,0
B1-U007,2026-01-19,1
B1-U007,2026-01-20,0
B1-U007,2026-01-21,1
B1-U007,2026-01-22,1
B1-U008,2026-01-10,7
B1-U008,2026-01-11,6
B1-U008,2026-01-12,5
B1-U008,2026-01-13,4
B1-U008,2026-01-14,3
B1-U008,2026-01-15,2
B1-U008,2026-01-16,2
B1-U008,2026-01-17,1
B1-U008,2026-01-18,1
B1-U008,2026-01-19,0
B1-U008,2026-01-20,0
B1-U008,2026-01-21,0
B1-U008,2026-01-22,0
B1-U008,2026-01-23,0
B1-U008,2026-01-24,0
B1-U009,2026-01-06,12
B1-U009,2026-01-07,9
B1-U009,2026-01-08,8
B1-U009,2026-01-09,6
B1-U009,2026-01-10,7
B1-U009,2026-01-11,5
B1-U009,2026-01-12,4
B1-U009,2026-01-13,3
B1-U009,2026-01-14,2
B1-U009,2026-01-15,2
B1-U009,2026-01-16,1
B1-U009,2026-01-17,0
B1-U009,2026-01-18,0
B1-U009,2026-01-19,0
B1-U009,2026-01-20,0
B1-U010,2026-01-04,12
B1-U010,2026-01-05,9
B1-U010,2026-01-06,7
B1-U010,2026-01-07,6
B1-U010,2026-01-08,5
B1-U010,2026-01-09,4
B1-U010,2026-01-10,3
B1-U010,2026-01-11,2
B1-U010,2026-01-12,2
B1-U010,2026-01-13,3
B1-U010,2026-01-14,3
B1-U010,2026-01-15,1
B1-U010,2026-01-16,2
B1-U010,2026-01-17,1
B1-U010,2026-01-18,1
B1-U011,2026-01-10,5
B1-U011,2026-01-11,4
B1-U011,2026-01-12,2
B1-U011,2026-01-13,1
B1-U011,2026-01-14,0
B1-U011,2026-01-15,0
B1-U011,2026-01-16,0
B1-U011,2026-01-17,1
B1-U011,2026-01-18,2
B1-U011,2026-01-19,3
B1-U011,2026-01-20,2
B1-U011,2026-01-21,0
B1-U011,2026-01-22,2
B1-U011,2026-01-23,2
B1-U012,2026-01-18,12
B1-U012,2026-01-17,9
B1-U012,2026-01-16,11
B1-U012,2026-01-15,8
B1-U012,2026-01-14,7
B1-U012,2026-01-13,6
B1-U012,2026-01-12,5
B1-U012,2026-01-11,4
B1-U012,2026-01-10,2
B1-U012,2026-01-09,2
B1-U012,2026-01-08,3
B1-U012,2026-01-07,0
B1-U012,2026-01-06,3
B1-U012,2026-01-05,3
B1-U012,2026-01-04,2
B1-U013,2026-01-16,9
B1-U013,2026-01-17,7
B1-U013,2026-01-18,8
B1-U013,2026-01-19,6
B1-U013,2026-01-20,5
B1-U013,2026-01-21,4
B1-U013,2026-01-22,3
B1-U013,2026-01-23,2
B1-U013,2026-01-24,1
B1-U013,2026-01-25,2
B1-U013,2026-01-26,1
B1-U013,2026-01-27,0
B1-U013,2026-01-28,1
B1-U013,2026-01-29,0
B1-U013,2026-01-30,0
B1-U014,2025-12-31,12
B1-U014,2026-01-01,9
B1-U014,2026-01-02,7
B1-U014,2026-01-03,6
B1-U014,2026-01-04,5
B1-U014,2026-01-05,4
B1-U014,2026-01-06,3
B1-U014,2026-01-07,2
B1-U014,2026-01-08,1
B1-U014,2026-01-09,1
B1-U014,2026-01-10,3
B1-U014,2026-01-11,3
B1-U014,2026-01-12,2
B1-U014,2026-01-13,3
B1-U014,2026-01-14,2
B1-U015,2025-12-31,18
B1-U015,2026-01-01,17
B1-U015,2026-01-02,16
B1-U015,2026-01-03,15
B1-U015,2026-01-04,14
B1-U015,2026-01-05,13
B1-U015,2026-01-06,12
B1-U015,2026-01-07,11
B1-U015,2026-01-08,10
B1-U015,2026-01-09,9
B1-U015,2026-01-10,8
B1-U015,2026-01-11,7
B1-U015,2026-01-12,6
B1-U015,2026-01-13,5
B1-U015,2026-01-14,4
B1-U016,2025-12-30,9
B1-U016,2025-12-31,7
B1-U016,2026-01-01,6
B1-U016,2026-01-02,5
B1-U016,2026-01-03,4
B1-U016,2026-01-04,3
B1-U016,2026-01-05,2
B1-U016,2026-01-06,1
B1-U016,2026-01-07,1
B1-U016,2026-01-08,1
B1-U016,2026-01-09,0
B1-U016,2026-01-10,1
B1-U016,2026-01-11,3
B1-U016,2026-01-12,1
B1-U016,2026-01-13,2
B1-U017,2025-12-29,9
B1-U017,2025-12-30,7
B1-U017,2025-12-31,6
B1-U017,2026-01-01,5
B1-U017,2026-01-02,4
B1-U017,2026-01-03,3
B1-U017,2026-01-04,2
B1-U017,2026-01-05,2
B1-U017,2026-01-06,1
B1-U017,2026-01-07,0
B1-U017,2026-01-08,1
B1-U017,2026-01-09,2
B1-U017,2026-01-10,2
B1-U017,2026-01-11,3
B1-U017,2026-01-12,1
B1-U018,2025-12-28,9
B1-U018,2025-12-29,11
B1-U018,2025-12-30,7
B1-U018,2025-12-31,6
B1-U018,2026-01-01,8
B1-U018,2026-01-02,5
B1-U018,2026-01-03,4
B1-U018,2026-01-04,2
B1-U018,2026-01-05,0
B1-U018,2026-01-06,3
B1-U018,2026-01-07,0
B1-U018,2026-01-08,1
B1-U018,2026-01-09,1
B1-U018,2026-01-10,1
B1-U019,2025-12-28,9
B1-U019,2025-12-29,7
B1-U019,2025-12-30,6
B1-U019,2025-12-31,5
B1-U019,2026-01-01,4
B1-U019,2026-01-02,3
B1-U019,2026-01-03,2
B1-U019,2026-01-04,2
B1-U019,2026-01-05,2
B1-U019,2026-01-06,2
B1-U019,2026-01-07,2
B1-U019,2026-01-08,1
B1-U019,2026-01-09,1
B1-U019,2026-01-10,0
B1-U020,2025-12-16,12
B1-U020,2025-12-17,9
B1-U020,2025-12-18,7
B1-U020,2025-12-19,6
B1-U020,2025-12-20,5
B1-U020,2025-12-21,4
B1-U020,2025-12-22,3
B1-U020,2025-12-23,3
B1-U020,2025-12-24,3
B1-U020,2025-12-25,2
B1-U020,2025-12-26,3
B1-U020,2025-12-27,0
B1-U020,2025-12-28,3
B1-U020,2025-12-29,0
B1-U020,2025-12-30,3
B2-U001,2026-01-03,5
B2-U001,2026-01-04,7
B2-U001,2026-01-05,6
B2-U001,2026-01-06,8
B2-U001,2026-01-07,9
B2-U001,2026-01-08,7
B2-U001,2026-01-09,6
B2-U001,2026-01-10,8
B2-U001,2026-01-11,2
B2-U001,2026-01-12,0
B2-U001,2026-01-13,1
B2-U001,2026-01-14,1
B2-U001,2026-01-15,3
B2-U001,2026-01-16,1
B2-U001,2026-01-17,0
B2-U002,2026-01-19,15
B2-U002,2026-01-18,14
B2-U002,2026-01-17,13
B2-U002,2026-01-16,12
B2-U002,2026-01-15,11
B2-U002,2026-01-14,10
B2-U002,2026-01-13,9
B2-U002,2026-01-12,8
B2-U002,2026-01-11,1
B2-U002,2026-01-10,2
B2-U002,2026-01-09,2
B2-U002,2026-01-08,3
B2-U002,2026-01-07,0
B2-U002,2026-01-06,2
B2-U002,2026-01-05,2
B2-U003,2026-01-05,12
B2-U003,2026-01-06,9
B2-U003,2026-01-07,11
B2-U003,2026-01-08,10
B2-U003,2026-01-09,8
B2-U003,2026-01-10,7
B2-U003,2026-01-11,6
B2-U003,2026-01-12,5
B2-U003,2026-01-13,4
B2-U003,2026-01-14,3
B2-U003,2026-01-15,2
B2-U003,2026-01-16,2
B2-U003,2026-01-17,2
B2-U003,2026-01-18,2
B2-U003,2026-01-19,1
B2-U004,,6
B2-U005,2026-01-09,14
B2-U005,2026-01-10,16
B2-U005,2026-01-11,15
B2-U005,2026-01-12,12
B2-U005,2026-01-13,10
B2-U005,2026-01-14,9
B2-U005,2026-01-15,8
B2-U005,2026-01-16,7
B2-U005,2026-01-17,0
B2-U005,2026-01-18,1
B2-U005,2026-01-19,1
B2-U005,2026-01-20,3
B2-U005,2026-01-21,1
B2-U005,2026-01-22,0
B2-U005,2026-01-23,2
B2-U006,2026-01-29,12
B2-U006,2026-01-28,9
B2-U006,2026-01-27,7
B2-U006,2026-01-26,6
B2-U006,2026-01-25,8
B2-U006,2026-01-24,9
B2-U006,2026-01-23,10
B2-U006,2026-01-22,11
B2-U006,2026-01-21,1
B2-U006,2026-01-20,3
B2-U006,2026-01-19,1
B2-U006,2026-01-18,0
B2-U006,2026-01-17,3
B2-U006,2026-01-16,1
B2-U006,2026-01-15,3
B2-U007,2026-01-12,12
B2-U007,2026-01-13,11
B2-U007,2026-01-14,9
B2-U007,2026-01-15,8
B2-U007,2026-01-16,7
B2-U007,2026-01-17,6
B2-U007,2026-01-18,5
B2-U007,2026-01-19,4
B2-U007,2026-01-20,3
B2-U007,2026-01-21,2
B2-U007,2026-01-22,2
B2-U007,2026-01-23,2
B2-U007,2026-01-24,2
B2-U007,2026-01-25,2
B2-U007,2026-01-26,1
B2-U008,2026-01-12,15
B2-U008,2026-01-13,12
B2-U008,2026-01-14,9
B2-U008,2026-01-15,7
B2-U008,2026-01-16,5
B2-U008,2026-01-17,4
B2-U008,2026-01-18,3
B2-U008,2026-01-19,2
B2-U008,2026-01-20,0
B2-U008,2026-01-21,2
B2-U008,2026-01-22,0
B2-U008,2026-01-23,0
B2-U008,2026-01-24,0
B2-U008,2026-01-25,0
B2-U008,2026-01-26,2
B2-U009,2026-01-28,9
B2-U009,2026-01-27,11
B2-U009,2026-01-26,8
B2-U009,2026-01-25,7
B2-U009,2026-01-24,6
B2-U009,2026-01-23,5
B2-U009,2026-01-22,4
B2-U009,2026-01-21,3
B2-U009,2026-01-20,2
B2-U009,2026-01-19,3
B2-U009,2026-01-18,1
B2-U009,2026-01-17,2
B2-U009,2026-01-16,2
B2-U009,2026-01-15,1
B2-U009,2026-01-14,2
B2-U010,2026-01-13,12
B2-U010,2026-01-14,9
B2-U010,2026-01-15,11
B2-U010,2026-01-16,8
B2-U010,2026-01-17,7
B2-U010,2026-01-18,6
B2-U010,2026-01-19,5
B2-U010,2026-01-20,4
B2-U010,2026-01-21,3
B2-U010,2026-01-22,2
B2-U010,2026-01-23,2
B2-U010,2026-01-24,1
B2-U010,2026-01-25,1
B2-U010,2026-01-26,0
B2-U010,2026-01-27,0
B2-U011,2026-01-13,5
B2-U011,2026-01-12,7
B2-U011,2026-01-11,6
B2-U011,2026-01-10,4
B2-U011,2026-01-09,3
B2-U011,2026-01-08,2
B2-U011,2026-01-07,1
B2-U011,2026-01-06,0
B2-U011,2026-01-05,0
B2-U011,2026-01-04,0
B2-U011,2026-01-03,1
B2-U011,2026-01-02,3
B2-U011,2026-01-01,3
B2-U011,2025-12-31,1
B2-U011,2025-12-30,1
B2-U012,2026-01-08,9
B2-U012,2026-01-09,7
B2-U012,2026-01-10,6
B2-U012,2026-01-11,5
B2-U012,2026-01-12,4
B2-U012,2026-01-13,3
B2-U012,2026-01-14,2
B2-U012,2026-01-15,1
B2-U012,2026-01-16,0
B2-U012,2026-01-17,0
B2-U012,2026-01-18,0
B2-U012,2026-01-19,0
B2-U012,2026-01-20,0
B2-U012,2026-01-21,0
B2-U012,2026-01-22,0
B2-U013,2026-02-01,9
B2-U013,2026-02-02,7
B2-U013,2026-02-03,6
B2-U013,2026-02-04,5
B2-U013,2026-02-05,4
B2-U013,2026-02-06,3
B2-U013,2026-02-07,2
B2-U013,2026-02-08,4
B2-U013,2026-02-09,0
B2-U013,2026-02-10,3
B2-U013,2026-02-11,2
B2-U013,2026-02-12,0
B2-U013,2026-02-13,1
B2-U013,2026-02-14,3
B2-U013,2026-02-15,2
B2-U014,2026-01-15,12
B2-U014,2026-01-16,9
B2-U014,2026-01-17,8
B2-U014,2026-01-18,7
B2-U014,2026-01-19,6
B2-U014,2026-01-20,5
B2-U014,2026-01-21,4
B2-U014,2026-01-22,4
B2-U014,2026-01-23,2
B2-U014,2026-01-24,0
B2-U014,2026-01-25,3
B2-U014,2026-01-26,3
B2-U014,2026-01-27,1
B2-U014,2026-01-28,3
B2-U014,2026-01-29,3
B2-U015,2026-01-02,7
B2-U015,2026-01-03,6
B2-U015,2026-01-04,5
B2-U015,2026-01-05,4
B2-U015,2026-01-06,3
B2-U015,2026-01-07,2
B2-U015,2026-01-08,1
B2-U015,2026-01-09,0
B2-U015,2026-01-10,0
B2-U015,2026-01-11,3
B2-U015,2026-01-12,2
B2-U015,2026-01-13,0
B2-U015,2026-01-14,0
B2-U015,2026-01-15,1
B2-U015,2026-01-16,3
B2-U016,2026-01-28,12
B2-U016,2026-01-27,9
B2-U016,2026-01-26,8
B2-U016,2026-01-25,11
B2-U016,2026-01-24,10
B2-U016,2026-01-23,7
B2-U016,2026-01-22,6
B2-U016,2026-01-21,5
B2-U016,2026-01-20,4
B2-U016,2026-01-19,3
B2-U016,2026-01-18,2
B2-U016,2026-01-17,3
B2-U016,2026-01-16,2
B2-U016,2026-01-15,2
B2-U016,2026-01-14,1
B2-U017,2026-01-18,12
B2-U017,2026-01-19,9
B2-U017,2026-01-20,7
B2-U017,2026-01-21,6
B2-U017,2026-01-22,5
B2-U017,2026-01-23,4
B2-U017,2026-01-24,3
B2-U017,2026-01-25,2
B2-U017,2026-01-26,1
B2-U017,2026-01-27,2
B2-U017,2026-01-28,0
B2-U017,2026-01-29,0
B2-U017,2026-01-30,0
B2-U017,2026-01-31,2
B2-U017,2026-02-01,2
B2-U018,2026-01-20,5
B2-U018,2026-01-21,9
B2-U018,2026-01-22,4
B2-U018,2026-01-23,8
B2-U018,2026-01-24,7
B2-U018,2026-01-25,6
B2-U018,2026-01-26,5
B2-U018,2026-01-27,4
B2-U018,2026-01-28,1
B2-U018,2026-01-29,1
B2-U018,2026-01-30,1
B2-U018,2026-01-31,3
B2-U018,2026-02-01,0
B2-U018,2026-02-02,0
B2-U018,2026-02-03,1
B2-U019,2026-01-31,5
B2-U019,2026-01-30,7
B2-U019,2026-01-29,6
B2-U019,2026-01-28,5
B2-U019,2026-01-27,4
B2-U019,2026-01-26,3
B2-U019,2026-01-25,2
B2-U019,2026-01-24,1
B2-U019,2026-01-23,0
B2-U019,2026-01-22,1
B2-U019,2026-01-21,3
B2-U019,2026-01-20,3
B2-U019,2026-01-19,2
B2-U019,2026-01-18,3
B2-U019,2026-01-17,1
B2-U020,2026-01-01,12
B2-U020,2026-01-02,9
B2-U020,2026-01-03,7
B2-U020,2026-01-04,6
B2-U020,2026-01-05,5
B2-U020,2026-01-06,4
B2-U020,2026-01-07,3
B2-U020,2026-01-08,2
B2-U020,2026-01-09,3
B2-U020,2026-01-10,2
B2-U020,2026-01-11,0
B2-U020,2026-01-12,1
B2-U020,2026-01-13,0
B2-U020,2026-01-14,2
B2-U020,2026-01-15,2
B3-U001,2026-01-13,5
B3-U001,2026-01-14,7
B3-U001,2026-01-15,6
B3-U001,2026-01-16,4
B3-U001,2026-01-17,3
B3-U001,2026-01-18,2
B3-U001,2026-01-19,2
B3-U001,2026-01-20,1
B3-U001,2026-01-21,2
B3-U001,2026-01-22,0
B3-U001,2026-01-23,0
B3-U001,2026-01-24,0
B3-U001,2026-01-25,0
B3-U001,2026-01-26,2
B3-U001,2026-01-27,2
B3-U002,2026-01-07,5
B3-U002,2026-01-08,4
B3-U002,2026-01-09,3
B3-U002,2026-01-10,2
B3-U002,2026-01-11,2
B3-U002,2026-01-12,1
B3-U002,2026-01-13,1
B3-U002,2026-01-14,1
B3-U002,2026-01-15,1
B3-U002,2026-01-16,1
B3-U002,2026-01-17,0
B3-U002,2026-01-18,3
B3-U002,2026-01-19,3
B3-U002,2026-01-20,2
B3-U002,2026-01-21,2
B3-U003,2026-01-11,12
B3-U003,2026-01-12,9
B3-U003,2026-01-13,7
B3-U003,2026-01-14,6
B3-U003,2026-01-15,5
B3-U003,2026-01-16,4
B3-U003,2026-01-17,3
B3-U003,2026-01-18,2
B3-U003,2026-01-19,2
B3-U003,2026-01-20,1
B3-U003,2026-01-21,1
B3-U003,2026-01-22,2
B3-U003,2026-01-23,2
B3-U003,2026-01-24,2
B3-U003,2026-01-25,3
B3-U004,2026-01-04,12
B3-U004,2026-01-05,9
B3-U004,2026-01-06,7
