payment_id,user_id,subscription_id,payment_date,amount,promo_code,payment_status
P011,B19-U002,B381-S003,2026-12-05,50000.0,,success
P001,B0-U009,B65-S002,2026-01-02,50000.0,,success
P002,B0-U009,B65-S002,2026-02-02,50000.0,DISC10,success
P003,B11-U005,B224-S003,2026-09-03,50000.0,,success
P004,B11-U001,S001,2026-01-10,50000.0,,success
P005,B11-U001,S001,2026-02-09,50000.0,,failed
P006,B8-U010,S001,2026-01-15,150000.0,,success
P007,B8-U010,S001,2026-02-15,150000.0,PROMO20,success
P008,B13-U015,B274-S001,2026-02-01,50000.0,,success
P009,B19-U007,B386-S002,2026-02-15,150000.0,,failed
P010,B10-U017,B216-S002,2026-02-03,150000.0,DISC25,success
B9-P001,B0-U010,B196-S004,2026-03-12,150000.0,,success
B9-P002,B9-U018,B196-S004,2026-04-12,105000.0,PROMO10,success
B9-P003,B0-U010,B196-S004,2026-05-12,150000.0,,failed
B9-P004,B12-U015,B254-S003,2026-03-20,150000.0,,success
B9-P005,B12-U015,B254-S003,2026-04-20,105000.0,PROMO15,success
B9-P006,B7-U012,S002,2026-07-04,150000.0,,success
B9-P007,B0-U014,B13-S001,2026-01-10,150000.0,,success
B9-P008,B15-U003,B302-S001,2026-02-15,150000.0,,success
B9-P009,B18-U006,B365-S001,2026-04-15,150000.0,PROMO5,failed
P001,B0-U011,S001,2026-01-04,50000.0,,success
P002,B11-U005,B224-S001,2026-01-03,50000.0,PROMO10,success
P003,B2-U019,B57-S003,2026-01-23,50000.0,,failed
P004,B16-U007,B326-S002,2026-04-04,150000.0,,success
P005,B0-U010,B9-S002,2026-08-08,50000.0,PROMO5,success
P006,B5-U008,B107-S002,2026-02-01,50000.0,,failed
P007,B5-U019,B118-S001,2026-01-15,50000.0,,success
P008,B18-U018,B377-S002,2026-01-26,150000.0,PROMO15,success
P009,B19-U001,B380-S002,2026-02-15,150000.0,,success
P010,B16-U007,B326-S001,2026-01-04,50000.0,,success
B11-P001,B0-U006,B5-S001,2026-01-09,150000.0,,success
B11-P002,B0-U006,B5-S001,2026-02-09,150000.0,WELCOME15,success
B11-P003,B0-U014,B13-S001,2026-01-04,150000.0,,success
B11-P004,B0-U014,B13-S001,2026-02-04,150000.0,,success
B11-P005,B0-U014,B13-S001,2026-03-04,150000.0,SUMMER20,failed
B11-P006,B3-U007,B66-S001,2026-01-15,150000.0,,success
B11-P007,B18-U018,B377-S002,2026-01-26,150000.0,,success
B11-P008,B18-U018,B377-S002,2026-02-26,150000.0,NEWUSER25,failed
B11-P009,B2-U012,S001,2026-01-07,150000.0,,success
B11-P010,B2-U012,S001,2026-02-07,150000.0,,success
B12-P001,B0-U013,B267-S002,2026-02-12,50000.0,,success
B12-P002,B0-U013,B286-S001,2026-02-12,150000.0,PROMO30,success
B12-P003,B0-U013,S003,2026-03-01,50000.0,,failed
B12-P004,B0-U013,S002,2026-04-01,150000.0,,success
B12-P005,B0-U013,S002,2026-05-01,150000.0,PROMO30,success
B13-P001,B0-U014,B186-S002,2026-08-01,50000.0,PROMO10,success
B13-P002,B0-U014,S002,2026-07-01,50000.0,,success
B13-P003,B0-U014,S003,2026-04-10,50000.0,PROMO15,failed
B13-P004,B0-U014,S005,2026-10-20,150000.0,,success
B13-P005,B0-U014,B309-S002,2026-05-07,150000.0,PROMO20,success
P001,B0-U015,S004,2026-01-20,50000.0,,success
P002,B0-U015,S004,2026-02-20,50000.0,PROMO10,success
P003,B10-U015,S002,2026-07-05,150000.0,,failed
P004,B16-U018,B337-S002,2026-02-01,150000.0,,success
P005,B16-U018,B321-S002,2026-04-15,150000.0,PROMO20,success
P006,B0-U009,S004,2026-02-01,50000.0,,success
P007,B9-U013,B192-S002,2026-03-20,150000.0,,failed
P008,B13-U019,B278-S002,2026-03-10,150000.0,,success
P009,B2-U006,B45-S002,2026-02-20,150000.0,PROMO15,success
P010,B3-U013,S002,2026-07-15,150000.0,,success
P001,B0-U016,S001,2026-01-04,150000.0,,success
P002,B0-U016,S001,2026-02-04,150000.0,DISC10,success
P003,B0-U016,S001,2026-03-04,150000.0,,success
P004,B0-U016,S001,2026-04-04,150000.0,DISC15,success
P005,B0-U016,S001,2026-05-04,150000.0,,success
P006,B19-U014,S001,2026-01-07,150000.0,,success
P007,B19-U014,S001,2026-02-07,150000.0,DISC5,success
P008,B19-U014,S001,2026-03-07,150000.0,,success
P009,B19-U014,S001,2026-04-07,150000.0,,success
P010,B19-U014,S001,2026-05-07,150000.0,,success
P011,B2-U001,S003,2026-01-08,50000.0,,success
P012,B2-U001,S003,2026-02-08,50000.0,,failed
P013,B2-U001,S003,2026-03-08,50000.0,,success
P014,B2-U001,S003,2026-04-08,50000.0,DISC20,success
P015,B2-U001,S003,2026-05-08,50000.0,,success
P016,B0-U002,S001,2026-01-12,150000.0,,success
P017,B0-U002,S001,2026-02-12,150000.0,DISC25,success
P018,B0-U002,S001,2026-03-12,150000.0,,success
P019,B0-U002,S001,2026-04-12,150000.0,,success
P020,B0-U002,S001,2026-05-12,150000.0,,success
P021,B1-U007,B26-S001,2026-01-08,150000.0,,success
P001,B0-U017,S001,2026-01-01,150000.0,PROMO5,success
P002,B0-U017,S001,2026-02-01,150000.0,,success
P003,B0-U017,S001,2026-03-01,150000.0,PROMO5,success
P004,B0-U017,S001,2026-04-01,150000.0,,success
P005,B0-U017,S001,2026-05-01,150000.0,PROMO5,success
P006,B0-U017,S001,2026-06-01,150000.0,,success
B17-P001,B0-U013,S001,2026-01-10,50000.0,,success
B17-P002,B12-U008,B247-S001,2026-01-20,50000.0,PROMO10,success
B17-P003,B12-U010,S004,2026-05-15,37500.0,,success
B17-P004,B5-U013,B112-S001,2026-01-20,50000.0,,failed
B17-P005,B5-U012,B110-S005,2026-03-15,112500.0,PROMO25,success
B17-P006,B4-U020,B99-S002,2026-07-20,50000.0,,success
B17-P007,B17-U002,B341-S001,2026-04-07,150000.0,,failed
B17-P008,B0-U013,S001,2026-02-10,50000.0,PROMO5,success
B17-P009,B3-U003,B62-S001,2026-01-25,150000.0,,success
B17-P010,B16-U002,B321-S001,2026-01-15,50000.0,,success
B18-P001,B0-U019,B91-S003,2026-07-01,150000.0,,success
B18-P002,B0-U019,B91-S003,2026-08-01,150000.0,PROMO20,success
P003,B0-U019,B369-S002,2026-02-01,50000.0,,failed
P004,B0-U019,B369-S002,2026-03-01,50000.0,,success
P005,B0-U019,B369-S002,2026-04-01,50000.0,PROMO10,success
P006,B0-U019,B385-S001,2026-01-09,150000.0,,success
B19-P001,B0-U020,S001,2026-01-12,50000.0,,success
B19-P002,B0-U020,S001,2026-02-12,150000.0,DISC10,success
B19-P003,B16-U001,S002,2026-05-01,150000.0,,success
B19-P004,B10-U004,B203-S002,2026-05-08,150000.0,PROMO20,success
B19-P005,B6-U016,B135-S003,2026-02-01,150000.0,,success
B19-P006,B12-U008,B247-S002,2026-02-15,150000.0,WELCOME,success
B19-P007,B16-U009,S002,2026-05-01,150000.0,,failed
P001,B1-U001,B186-S001,2026-01-04,150000.0,,success
P002,B9-U007,B186-S001,2026-02-04,150000.0,PROMO10,success
P003,B12-U002,S002,2026-03-08,150000.0,,success
P004,U003,B122-S001,2026-02-09,150000.0,DISC20,failed
P005,B1-U020,S003,2026-04-01,50000.0,,success
P006,B13-U018,S005,2026-07-10,150000.0,,success
P007,B0-U005,B4-S002,2026-07-20,150000.0,PROMO5,success
P008,B19-U008,S001,2026-01-12,150000.0,,success
P009,B4-U020,B99-S002,2026-07-13,50000.0,,success
P010,B14-U011,B290-S003,2026-09-01,150000.0,,success
P001,B1-U002,S003,2026-01-12,50000.0,,success
P002,B11-U008,S002,2026-03-15,50000.0,PROMO30,success
P003,B17-U012,S003,2026-04-09,35000.0,,failed
P004,B17-U008,B347-S001,2026-01-09,50000.0,,success
P005,B10-U010,B209-S001,2026-01-10,50000.0,PROMO10,success
P006,B0-U007,S001,2026-01-08,50000.0,,success
P007,B9-U020,B199-S002,2026-02-15,50000.0,,failed
P008,B15-U016,S001,2026-01-10,50000.0,,success
P009,B4-U013,B92-S001,2026-01-08,50000.0,,success
P010,B4-U003,B82-S001,2026-01-09,50000.0,,success
P001,B1-U003,S003,2026-03-15,50000.0,,success
P002,B9-U001,B380-S002,2026-02-20,22500.0,DISC30,success
P003,B3-U004,B63-S003,2026-04-15,50000.0,,failed
P004,B8-U001,B160-S003,2026-08-12,25000.0,SAVE10,success
P005,B13-U009,B268-S001,2026-02-10,50000.0,,success
P006,B11-U005,B224-S001,2026-02-28,50000.0,PROMO5,success
P007,B7-U006,S001,2026-01-20,50000.0,,success
P008,B14-U008,S003,2026-08-10,50000.0,,success
P009,B8-U007,B166-S002,2026-04-20,150000.0,DISC20,success
P010,B18-U018,B377-S002,2026-02-15,150000.0,,success
P001,B1-U004,S002,2026-07-11,50000.0,PROMO10,success
P002,B3-U018,S002,2026-07-11,50000.0,,success
P003,B1-U017,S002,2026-07-01,50000.0,PROMO20,success
P004,B8-U020,S002,2026-01-28,50000.0,,failed
P005,B0-U008,S002,2026-02-08,50000.0,,success
P006,B19-U018,B397-S001,2026-01-15,150000.0,PROMO15,success
P007,B7-U005,B144-S003,2026-03-01,150000.0,,success
P008,B16-U020,S001,2026-01-15,50000.0,PROMO5,success
P009,B0-U020,S009,2026-11-15,1500000.0,,success
P010,B5-U005,B104-S001,2026-01-10,50000.0,,success
P011,B3-U001,S001,2026-01-21,50000.0,,success
B24-P001,B1-U005,S003,2026-09-15,50000.0,,success
B24-P002,B1-U005,S003,2026-10-15,50000.0,WELCOME10,success
B24-P003,B1-U005,S003,2026-11-15,35000.0,,failed
B24-P004,B1-U005,S003,2026-12-15,50000.0,,success
B24-P005,B18-U013,B370-S005,2026-02-25,50000.0,,success
B24-P006,B18-U013,B370-S005,2026-03-25,50000.0,SPRING20,failed
B24-P007,B18-U013,B370-S005,2026-04-25,50000.0,,success
B24-P008,B23-U002,S004,2026-01-25,50000.0,,success
B24-P009,B23-U002,S004,2026-02-25,50000.0,NEWUSER,success
B24-P010,B10-U018,B217-S001,2026-01-15,150000.0,,success
B24-P011,B10-U018,B217-S001,2026-02-15,150000.0,,failed
B24-P012,B10-U018,B217-S001,2026-03-15,150000.0,LOYALTY,success
B24-P013,B14-U012,S001,2026-01-12,150000.0,,success
B24-P014,B14-U012,S001,2026-02-12,150000.0,SUMMER,success
B24-P015,B14-U012,S001,2026-03-12,150000.0,,failed
B24-P016,B9-U010,S001,2026-01-08,150000.0,,success
B24-P017,B9-U010,S001,2026-02-08,150000.0,NEWYEAR,success
B25-P001,B1-U006,B63-S003,2026-04-10,50000.0,,success
B25-P002,B1-U006,B63-S003,2026-04-11,50000.0,PROMO10,success
P003,B1-U006,B63-S003,2026-04-12,50000.0,,failed
B25-P004,B1-U006,B32-S002,2026-04-02,50000.0,,success
P001,B1-U007,S003,2026-08-15,150000.0,,success
P002,B12-U007,S002,2026-02-28,50000.0,PROMO20,success
P003,B3-U021,S004,2026-02-25,50000.0,,failed
P004,B16-U020,B338-S004,2026-02-15,50000.0,,success
P005,B3-U017,B76-S001,2026-02-28,50000.0,PROMO5,success
P006,B6-U015,S002,2026-02-20,150000.0,,success
P007,B5-U017,S002,2026-03-01,150000.0,,failed
P008,B14-U016,B295-S002,2026-02-10,150000.0,PROMO15,success
P009,B16-U018,B337-S001,2026-01-28,50000.0,,success
P010,B1-U017,S003,2026-08-08,150000.0,PROMO10,success
B27-P001,B1-U008,B377-S001,2026-01-01,25000.0,,success
B27-P002,B18-U018,B377-S001,2026-01-02,25000.0,WELCOME10,success
P003,B2-U020,S002,2026-02-05,150000.0,,failed
P004,B10-U004,B203-S001,2026-01-10,50000.0,,success
P005,B0-U003,S005,2026-03-20,45000.0,SPRING20,success
P006,B8-U021,S004,2026-01-08,50000.0,,success
P007,B1-U006,B25-S002,2026-02-12,45000.0,LOYAL5,success
P008,B7-U014,B153-S002,2026-01-20,50000.0,,success
P009,B8-U005,B164-S002,2026-07-15,50000.0,,success
P010,B16-U018,B337-S002,2026-01-26,150000.0,NEWSUB,failed
P001,B1-U009,B342-S002,2026-03-15,150000.0,SPRING10,success
P002,B1-U009,B342-S002,2026-04-15,150000.0,,success
P003,B1-U009,B342-S002,2026-05-15,150000.0,WELCOME5,success
P004,B19-U012,S001,2026-01-20,50000.0,,success
P005,B19-U012,S001,2026-02-20,50000.0,NEWUSER,failed
P006,B12-U018,S001,2026-01-25,150000.0,,success
P007,B12-U018,S001,2026-02-25,150000.0,,success
P008,B14-U003,S001,2026-01-26,150000.0,SUMMER20,success
P009,B14-U003,S001,2026-02-26,150000.0,,success
P001,B1-U010,S001,2026-01-15,50000.0,,success
P002,B7-U008,S001,2026-01-20,50000.0,PROMO10,success
P003,B2-U009,S004,2026-02-01,150000.0,,success
P004,B12-U018,B245-S002,2026-02-20,120000.0,WELCOME,success
P005,B4-U002,B81-S001,2026-01-18,150000.0,,failed
P006,B11-U010,S002,2026-02-05,150000.0,,success
P007,B12-U018,B255-S005,2026-02-15,50000.0,SPRING,success
P008,B19-U019,S004,2026-05-15,150000.0,,success
P009,B5-U030,S004,2026-01-20,50000.0,,failed
P010,B9-U007,B186-S002,2026-08-10,50000.0,DISC20,success
P001,B1-U011,S001,2026-01-15,50000.0,,success
P002,B4-U018,B97-S002,2026-02-10,100000.0,PROMO20,success
P003,B6-U012,S004,2026-03-05,50000.0,,failed
P004,B9-U009,S001,2026-01-25,50000.0,,success
P005,B17-U017,S002,2026-04-20,50000.0,PROMO10,success
P006,B18-U003,B362-S002,2026-02-18,50000.0,,failed
P007,B17-U017,S002,2026-05-01,50000.0,,success
P008,B1-U017,S001,2026-01-02,125000.0,PROMO30,success
P009,B10-U004,B203-S003,2026-07-15,50000.0,,success
P010,B17-U008,B347-S002,2026-02-20,150000.0,,failed
P001,B1-U012,S003,2026-04-20,150000.0,,success
P002,B1-U012,S003,2026-05-20,150000.0,PROMO10,success
P003,B1-U012,S003,2026-06-20,150000.0,,success
B32-P001,B1-U013,B107-S001,2026-01-07,150000.0,NEWYEAR10,success
B32-P002,B1-U013,B107-S001,2026-02-07,150000.0,,success
B32-P003,B1-U013,B107-S001,2026-03-07,150000.0,,success
B32-P004,B1-U013,B107-S001,2026-04-07,135000.0,SPRING15,success
B32-P005,B6-U005,B124-S001,2026-01-08,150000.0,,success
B33-P001,B1-U014,B216-S002,2026-02-04,150000.0,,success
B33-P002,B1-U014,B216-S002,2026-03-04,150000.0,PROMO30,success
B33-P003,B3-U010,S001,2026-01-15,150000.0,,success
B33-P004,B7-U008,S003,2026-05-05,50000.0,,failed
B33-P005,B10-U006,B205-S002,2026-04-20,150000.0,PROMO15,success
B33-P006,B5-U012,B111-S001,2026-01-08,150000.0,,success
B33-P007,B7-U009,B148-S002,2026-11-20,50000.0,,success
B33-P008,B3-U005,B64-S002,2026-02-28,150000.0,PROMO30,failed
B33-P009,B1-U002,B21-S003,2026-03-15,50000.0,,success
B33-P010,B1-U008,B27-S001,2026-02-05,50000.0,,success
B33-P011,B1-U003,B22-S001,2026-01-17,150000.0,,success
P001,B1-U015,S002,2026-02-01,50000.0,,success
P002,B1-U015,S002,2026-03-01,35000.0,DISC30,success
P003,B3-U005,B78-S001,2026-01-20,150000.0,,success
P004,B18-U020,B379-S002,2026-03-20,50000.0,,failed
P005,B11-U005,B224-S002,2026-03-05,150000.0,SPRING,success
P006,B19-U008,S002,2026-02-12,50000.0,,success
P007,B17-U017,S002,2026-04-12,50000.0,,success
B35-P001,B1-U016,B111-S001,2026-01-02,150000.0,,success
B35-P002,B5-U012,B111-S001,2026-02-02,150000.0,SAVE20,success
B35-P003,B9-U018,B197-S002,2026-01-05,50000.0,,failed
B35-P004,B5-U012,B111-S001,2026-03-02,150000.0,WELCOME,success
B35-P005,B5-U010,B109-S002,2026-07-06,50000.0,,success
B35-P006,B10-U017,B216-S002,2026-02-08,150000.0,,success
B35-P007,B7-U009,B148-S001,2026-01-15,150000.0,NEWBIE,success
B35-P008,B3-U017,B76-S001,2026-01-03,50000.0,,success
B35-P009,B8-U014,S002,2025-07-01,50000.0,,failed
B36-P001,B1-U017,S001,2026-01-04,50000.0,,success
B36-P002,B1-U017,S001,2026-02-04,50000.0,SPRING10,success
B36-P003,B1-U012,S003,2025-11-15,50000.0,,failed
B36-P004,B11-U019,B238-S001,2026-01-10,50000.0,,success
B36-P005,B3-U016,B75-S002,2026-02-04,150000.0,WELCOME25,success
B36-P006,B13-U002,B261-S001,2026-01-07,150000.0,,success
B36-P007,B11-U019,B238-S002,2026-04-11,150000.0,,success
B36-P008,B17-U005,B344-S002,2026-04-05,150000.0,SPRINGSALE,success
P001,B1-U018,B313-S001,2026-01-05,50000.0,,success
P002,B15-U014,B313-S001,2026-02-05,50000.0,PROMO10,success
P003,B19-U009,B388-S002,2026-03-03,35000.0,,failed
P004,B16-U002,B321-S002,2026-05-10,150000.0,WELCOME,success
P005,B1-U012,S003,2025-11-20,50000.0,,failed
P006,B17-U012,S002,2026-02-15,150000.0,SOCIAL,success
P007,B16-U017,B336-S003,2026-01-20,150000.0,,success
P008,B18-U007,B366-S001,2026-02-15,50000.0,DISC20,success
P009,B8-U002,B161-S001,2026-03-15,50000.0,,success
P010,B19-U007,B386-S001,2026-02-20,50000.0,HALFOFF,success
P001,B1-U019,B312-S001,2026-01-15,150000.0,,success
P002,B15-U013,B312-S001,2026-01-20,150000.0,NEW10,success
P003,B1-U012,S002,2026-04-05,150000.0,,success
P004,B4-U009,S001,2026-01-04,50000.0,,failed
P005,B14-U005,B284-S001,2026-01-10,150000.0,SPRING,success
P006,B10-U008,B207-S002,2026-04-10,150000.0,,success
P007,B5-U011,B110-S002,2026-04-08,150000.0,,success
P008,B4-U009,S003,2026-03-15,50000.0,SAVE20,failed
P009,B1-U012,S002,2026-04-15,150000.0,,success
P010,B7-U019,S001,2025-12-27,50000.0,,success
P001,B1-U018,B37-S001,2026-01-27,50000.0,,success
P002,B5-U012,B111-S002,2026-07-04,25000.0,PROMO15,success
P003,B12-U004,B243-S002,2026-04-15,112500.0,,success
P004,B7-U010,B149-S002,2026-07-08,112500.0,WELCOME30,success
P005,B15-U010,B309-S001,2026-01-10,50000.0,,failed
P006,B8-U002,B161-S001,2026-02-15,50000.0,,success
P007,B19-U015,B394-S002,2026-06-15,150000.0,SUMMER20,success
P008,B11-U009,S004,2026-01-25,50000.0,,failed
P009,B1-U018,B37-S001,2026-02-27,50000.0,NEWUSER,success
P010,B14-U006,B285-S001,2026-01-20,50000.0,,success
B40-P001,B2-U001,S001,2026-01-02,50000.0,,success
B40-P002,B2-U001,S001,2026-02-02,50000.0,DISC20,success
B40-P003,B2-U001,S001,2026-03-02,50000.0,,success
B40-P004,B2-U001,S001,2026-04-02,50000.0,,success
B40-P005,B3-U003,B109-S001,2026-01-10,150000.0,PROMO10,success
B40-P006,B3-U003,B109-S001,2026-02-10,150000.0,,failed
B40-P007,B3-U003,B109-S001,2026-03-10,150000.0,,success
B40-P008,B3-U003,B109-S001,2026-04-10,150000.0,,success
B40-P009,B7-U004,B143-S002,2026-06-14,150000.0,SAVE15,success
B40-P010,B7-U004,B143-S002,2026-07-14,150000.0,,success
B41-P001,B2-U002,S002,2026-01-12,75000.0,,success
B41-P002,B6-U015,B22-S003,2026-05-18,50000.0,WELCOME30,success
B41-P003,B8-U020,S002,2026-02-02,150000.0,,failed
B41-P004,B16-U011,S002,2026-02-04,150000.0,SPRING20,success
B41-P005,B1-U003,B22-S003,2026-09-05,50000.0,,success
B41-P006,B14-U011,B290-S003,2026-09-10,150000.0,FALL15,success
B41-P007,B10-U012,B209-S004,2026-02-01,50000.0,,success
B41-P008,B10-U004,B203-S003,2026-07-02,50000.0,,success
B41-P009,B6-U017,B136-S002,2026-03-01,150000.0,WELCOME30,success
B41-P010,B2-U005,S002,2026-06-01,50000.0,,success
B41-P011,B14-U019,B298-S001,2026-01-15,50000.0,,success
P001,B2-U003,S001,2026-01-15,50000.0,,success
P002,B2-U003,S001,2026-02-15,50000.0,PROMO15,success
P003,B2-U003,S001,2026-03-15,50000.0,,success
P004,B2-U003,S001,2026-04-15,50000.0,,failed
P005,B18-U012,B371-S001,2026-01-20,150000.0,PROMO30,success
P001,B2-U004,S001,2026-01-10,150000.0,PROMO10,success
P002,B11-U004,S001,2026-02-10,150000.0,,success
P003,B11-U009,S004,2026-02-22,50000.0,NEWYEAR,failed
P004,B14-U001,S003,2026-04-15,50000.0,,success
P005,B19-U018,B397-S001,2026-02-20,150000.0,,success
P006,B0-U017,S002,2026-05-01,150000.0,SUMMER21,success
P007,B11-U013,B232-S002,2026-02-25,150000.0,,failed
P008,B15-U003,B302-S002,2026-02-05,50000.0,,success
P009,B0-U017,S002,2026-04-15,150000.0,WELCOME,success
P001,B2-U005,B111-S001,2026-01-15,150000.0,,success
P002,B2-U005,B111-S001,2026-02-15,150000.0,PROMO20,success
P003,B2-U005,B111-S001,2026-03-15,150000.0,,success
P004,B2-U005,B111-S001,2026-04-15,150000.0,,failed
P005,B14-U013,S001,2026-01-20,150000.0,PROMO15,success
P006,B14-U013,S001,2026-02-20,150000.0,,success
P007,B14-U013,S001,2026-03-20,150000.0,,failed
P008,B5-U005,B104-S001,2026-01-12,50000.0,,success
P009,B5-U005,B104-S001,2026-02-12,50000.0,PROMO5,success
P010,B5-U005,B104-S001,2026-03-12,50000.0,,failed
P001,B2-U006,B193-S003,2026-02-01,150000.0,,success
P002,B2-U006,B193-S003,2026-03-01,150000.0,DISC20,success
P003,B2-U006,B193-S003,2026-04-01,150000.0,,failed
P004,B11-U011,B230-S002,2025-11-20,50000.0,,success
P005,B11-U011,B230-S002,2025-12-20,50000.0,SAVE10,success
P006,B11-U011,B230-S002,2026-01-12,50000.0,,failed
P007,B9-U015,B193-S003,2026-02-15,150000.0,,success
P008,B9-U015,B193-S003,2026-03-15,150000.0,DISC15,success
P009,B9-U015,B193-S003,2026-04-15,150000.0,,failed
P010,B13-U018,S004,2026-02-15,50000.0,WELCOME,success
P001,B2-U007,S002,2026-04-20,150000.0,,success
P002,B9-U008,S003,2026-01-20,25000.0,PROMO30,success
P003,B14-U016,B295-S001,2026-02-01,150000.0,,success
P004,B17-U003,B342-S001,2026-01-08,50000.0,,failed
P005,B2-U014,B53-S001,2026-01-25,150000.0,PROMO20,success
P006,B2-U001,S003,2026-01-02,50000.0,,success
P007,B14-U015,B294-S001,2026-01-10,150000.0,,success
P008,B19-U010,S002,2026-04-10,150000.0,,failed
P009,B13-U019,B278-S001,2026-02-10,50000.0,,success
P010,B7-U005,B144-S002,2026-02-15,50000.0,PROMO15,success
B47-P001,B2-U008,B148-S001,2026-01-11,112500.0,WELCOME10,success
B47-P002,B2-U008,B148-S001,2026-02-11,112500.0,,success
B47-P003,B2-U008,B148-S001,2026-03-11,112500.0,SPRING21,success
B47-P004,B2-U008,B148-S001,2026-04-11,112500.0,,failed
B47-P005,B3-U016,B75-S002,2026-02-10,150000.0,,success
B47-P006,B3-U016,B75-S002,2026-03-10,150000.0,NEWUSER,success
B47-P007,B3-U007,B66-S002,2026-02-20,50000.0,,failed
B47-P008,B3-U007,B66-S002,2026-03-20,50000.0,LOYAL5,success
B47-P009,B11-U001,S001,2026-01-15,50000.0,,success
B47-P010,B11-U001,S001,2026-02-15,50000.0,SPRING15,success
B47-P011,B18-U007,S002,2026-05-01,150000.0,,success
B47-P012,B19-U002,B381-S003,2026-12-05,50000.0,,success
B48-P001,B2-U009,S002,2026-01-15,157500.0,WELCOME15,success
B48-P002,B2-U009,S002,2026-02-15,157500.0,,success
B48-P003,B2-U009,S002,2026-03-15,157500.0,WINTER20,success
B48-P004,B2-U009,S002,2026-04-15,157500.0,,failed
B48-P005,B11-U018,S002,2026-02-08,157500.0,,success
B48-P006,B1-U019,S002,2026-02-02,157500.0,SPRING10,success
B48-P007,B1-U004,S001,2026-01-12,50000.0,,success
B48-P008,B8-U004,B163-S002,2026-04-20,150000.0,NEWUSER5,success
P001,B2-U010,B388-S001,2026-01-04,50000.0,,success
